"subject";"id";"subject";"thread";"from_unixtime(jos_kunena_messages.time,'%Y-%m-%dT%T')";"message"
"多伦多慧灯禅修班简介";"85";"多伦多慧灯禅修班简介";"18";"2016-03-19T18:17:40";"[b]1.	性质[/b]慧灯禅修班是佛教徒自发组建的修学藏传佛教的单纯的实修群体，通过共同学习，系统地闻思修行佛法。[b]2.	宗旨[/b]当今许多佛教徒，除了烧香拜佛以外不懂正法不懂佛理，既使略懂理论，也不知如何正确修行。而且，随着生活节奏加快，压力不断激增，也没有太多时间学习很多理论。为了让更多的学佛的人找到正确的方向，进入解脱道，化解生活中的压力，烦恼和痛苦，佛教徒自发组建了禅修班，旨在以简单，轻松和快捷的方式，学习并体验张传佛教的核心内容。[b]3.	修学内容[/b]慧灯禅修班强调闻，思，修相结合，并以实修为重点。具体修行次第如下：a.	学习佛教的基础知识b.	修四加行，培养出离心c.	修五加行，培养菩提心，忏悔罪业，积累资粮d.	修禅定和寂止，使内心平静e.	修智慧，令证悟空性，达到明心见性整个修学过程由慈诚罗珠堪布亲自指导，并解疑释疑。[b]4.	修学方式[/b]采用每周共修一次的学习方式，共修程序包括以下部分：a.	闻：观看<<慧灯之光>>视频b.	思：学习，讨论视频及教材内容c.	修：打坐共修（打坐在进入实修阶段后安排）[b]5.	学习资料[/b]a.	慧灯禅修班教材该教材旨从<<慧灯之光>>系列丛书中提炼而出，并根据学修次第重修编排。b.	慈诚罗珠堪布的相关视频[b]6.	报名联系(多伦多)[/b]邮箱：wisdomlight@hotmail.com电话：(1)6472620366"
"多伦多慧灯禅修班简介";"86";"慧灯禅修班简介";"18";"2016-03-19T18:22:27";"多伦多慧灯禅修已经开三个班了，大家学习积极，讨论热烈，闻思修的氛围相当浓烈：1. 周六上午班这是在多伦多开设的第一个班，无论是学佛多年还是刚入佛门，大家齐聚于此，老学员帮新学员，新学员敬老学员，大家互乐互助，相互启发，开创了闻思修的一个新局面。目前已经进行到第一学年的第二册，今天上午学习了如何将病苦转为道用，连病苦都可以转为道用，太实用了，想学，每周六上午9：00---12：00，大家一起相聚：https://www.zoom.us/j/42190046392. 周五晚上班如提所示，这个周五晚上7：00--9：00的班，是为了照顾很多想要系统地学习慧灯禅修，又没有来得及跟周六的班学习而特别开设的，刚开课没多久，目前进行到第二课<<三殊胜>>, 想要学习的童鞋末要错过：YY房间号：509028543. 英文班英文班开设在周三晚上7:00 -- 9:00，不方便中文上课的，这是个不错的选择。"
"2015届Burnaby小组共修（第二册）";"144";"2015届Burnaby小组共修（第二册）";"30";"2016-04-02T21:16:30";"共修时间：温哥华时间每周二晚 7:00 - 10:00共修地点：close to 10th ave and 6th st, Burnaby, BC https://www.google.ca/maps/place/Burnaby,+BC/@49.2189534,-123.0676911,11z/data=!4m5!3m4!1s0x548677dcdd551865:0x294571569fab1f06!8m2!3d49.2189534!4d-122.9276154共修YY房间号码是  64043086学习资料：https://drive.google.com/drive/u/0/folders/0B0LPKwI4InkdX0xNLU5sMlNxSVkhttps://onedrive.live.com/redir?resid=54D8A53F42DE061C!413&authkey=!AM-4pS5FZb_eBxI&ithint=folder%2c如果国内不能访问Google Drive,请用Baidu云盘访问链接: http://pan.baidu.com/s/1nuOFQWT 密码: 85apYoutube视频频道: https://www.youtube.com/channel/UCp-m_8n7201qjJv4p9fScHg"
"多伦多小组共修";"145";"多伦多小组共修";"31";"2016-04-02T21:28:49";"共修时间：多伦多时间每周六上午9：00 -12：00共修网络地址：https://www.zoom.us/j/4219004639学习资料：共修资料网盘：https://www.dropbox.com/sh/38vejegtr97awy1/AABatkqPBQx9ZWzRrwJAdu-la?dl=0慧灯之光网盘：https://www.dropbox.com/sh/at9o7lzvh1pxmkb/AAAmSpdW-YjhGlbZR5RkX_E7a?dl=0Youtube视频:中文：https://www.youtube.com/channel/UCaL_nbAGRDHUqirC7Pjqyfw英文：https://www.youtube.com/channel/UCxFJMNiUe1X_BHbDPIB05fQ"
"2015届Burnaby小组共修（第二册）";"146";"温哥华小组共修";"30";"2016-04-02T23:33:23";"各位师兄吉祥，我们下次的共修时间是4月5日星期二晚上7点，YY房间号码是 64043086共修的内容是第二册第5课：第二册第5课 关于放生 www.wisdomlight.me/cn/hdcx/hdcxkdec/30-2016-02-27-07-19-08由 Jenny Meng 师兄串讲并组织大家进行学习和讨论。随喜各位师兄学修精进！阿弥陀佛慧航 合十"
"2015届Burnaby小组共修（第二册）";"178";"温哥华小组共修";"30";"2016-04-09T23:37:59";"各位师兄吉祥，我们下次的共修时间是4月12日星期二晚上7点，YY房间号码是 64043086共修内容是：第二册第6课 世界和平共处的诀窍--平等生存 http://wisdomlight.me/cn/hdcx/hdcxkdec/31-2016-02-27-07-20-16 第二册第7课 受戒行善的殊胜日 http://wisdomlight.me/cn/hdcx/hdcxkdec/32-2016-02-27-07-20-59 和第3，4，5课的复习。总共是一课由 huahua 师兄串讲并组织大家进行学习和讨论。随喜各位师兄学修精进！阿弥陀佛慧航 合十"
"2015届Burnaby小组共修（第二册）";"179";"温哥华小组共修";"30";"2016-04-15T20:18:55";"各位师兄吉祥，我们下次的共修时间是4月19日星期二晚上7点，YY房间号码是 64043086共修内容是：第二册第8课 如何将病苦转为道用 http://wisdomlight.me/cn/hdcx/hdcxkdec/33-2016-02-27-07-21-40视频: http://wisdomlight.me/cn/hdcx/jxsp/59-8-2由末學串講。第4，5课的复习 (由huahua师兄串讲)。随喜各位师兄学修精进！阿弥陀佛慧航 合十"
"2015届Burnaby小组共修（第二册）";"213";"温哥华小组共修";"30";"2016-04-29T19:51:11";"各位师兄吉祥，我们下次的共修时间是5月3日星期二晚上7点，YY房间号码是 64043086共修内容是：第九课《四谛:脱离生死的出路》一共4个视频，分两次共修完成。视频，课文和学修笔记见下面的Google Drive链接：https://drive.google.com/drive/u/0/folders/0B0LPKwI4InkdbmdvaGxyNTAwRVU由戴师兄主持串讲。随喜各位师兄学修精进！阿弥陀佛慧航 合十"
"2015届Burnaby小组共修（第二册）";"234";"温哥华小组共修";"30";"2016-05-09T00:45:32";"各位师兄吉祥，我们下次的共修时间是5月10日星期二晚上7点，YY房间号码是 64043086共修内容是：第九课《四谛:脱离生死的出路》的第三，四个视频一共4个视频，分两次共修完成。视频，课文和学修笔记见下面的Google Drive链接：http://drive.google.com/drive/u/0/folders/0B0LPKwI4InkdbmdvaGxyNTAwRVU 由圆妙Amy师兄主持串讲。以前的共修录音链接：https://drive.google.com/folderview?id=0B0LPKwI4InkdZnk0aWNCYmpkb0E&usp=sharing随喜各位师兄学修精进！阿弥陀佛慧航 合十"
"2015届Burnaby小组共修（第二册）";"235";"温哥华小组共修";"30";"2016-05-10T12:55:47";"5月17日共修 星期二晚上7点，YY房间号码是 64043086第二册第十课 《二谛-开启中观门扉之钥匙》共两次课https://drive.google.com/folderview?id=0B0LPKwI4InkdUU5zcVU0dkw2WTQ&usp=sharing或https://onedrive.live.com/redir?resid=54D8A53F42DE061C!416&authkey=!AJwk2neGmyZCMTI&ithint=folder%2cmp3本次共修学习第1，2个录音。由圆定James师兄主持串讲。"
